bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
72929649343,18.11.2025 | 01:32,Football. World Cup 2026 Qualification. Europe Yellow Cards Montenegro - Yellow Cards Croatia,1.85,No,loss,Individual Total 1 Over (3.5) (loss),0.3 ,18.11.2025 | 00:45
72929640953,18.11.2025 | 01:32,Football. World Cup 2026 Qualification. Europe Fouls Montenegro - Fouls Croatia,1.86,No,loss,Individual Total 1 Over (18.5) (loss),0.3 ,18.11.2025 | 00:45
72929436519,18.11.2025 | 01:25,Football. World Cup 2026 Qualification. Europe Czech Republic - Gibraltar,1.86,No,win,Handicap 1 (-5) (win),0.3 ,18.11.2025 | 00:45
72929346407,18.11.2025 | 01:23,Football. World Cup 2026 Qualification. Europe Yellow Cards Malta - Yellow Cards Poland,1.7,No,win,Individual Total 1 Over (1.5) (win),0.3 ,18.11.2025 | 00:45
72929222977,18.11.2025 | 01:18,Football. World Cup 2026 Qualification. Europe Corners Netherlands - Corners Lithuania,1.43,No,win,Total Under (8.5) (win),0.3 ,18.11.2025 | 00:45
72929090053,18.11.2025 | 01:14,Football. World Cup 2026 Qualification. Europe Corners Germany - Corners Slovakia 1st half,2.22,No,loss,Individual Total 1 Over (5.5) (loss),0.3 ,18.11.2025 | 00:30
72928669889,18.11.2025 | 01:02,Football. World Cup 2026 Qualification. Europe Czech Republic - Gibraltar 1st half,1.81,No,win,Handicap 1 (-2) (win),0.3 ,18.11.2025 | 00:30
72928660191,18.11.2025 | 01:01,Football. World Cup 2026 Qualification. Europe Montenegro - Croatia,0.43,No,unsettled,W2 (Sold),0.3 ,18.11.2025 | 00:45
72928587513,18.11.2025 | 00:59,Football. World Cup 2026 Qualification. Europe Germany - Slovakia 1st half,2.36,No,win,Individual Total 1 Over (1) (win),0.3 ,18.11.2025 | 00:30
72928553541,18.11.2025 | 00:58,Football. World Cup 2026 Qualification. Europe Netherlands - Lithuania 1st half,1,No,win,Handicap 1 (-1) (100% refund),0.3 ,18.11.2025 | 00:30
72928436589,18.11.2025 | 00:55,Football. World Cup 2026 Qualification. Europe Yellow Cards Northern Ireland - Yellow Cards Luxembourg,2.55,No,win,Individual Total 1 Over (1.5) (win),0.3 ,18.11.2025 | 00:45
72928352019,18.11.2025 | 00:53,Football. Spain. Segunda Division Cultural y Deportiva Leonesa - Malaga,2.38,No,loss,Both Teams To Score - Yes (loss),0.3 ,18.11.2025 | 00:30
72927723547,18.11.2025 | 00:37,Football. World Cup 2026 Qualification. Europe Northern Ireland - Luxembourg | Football. World Cup 2026 Qualification. Europe Montenegro - Croatia,5.37,Yes,loss,Total Over (2) (loss) | Individual Total 1 Over (1) (win),0.3 ,18.11.2025 | 00:45 | 18.11.2025 | 00:45
72925646205,17.11.2025 | 23:44,Football. World Cup 2026 Qualification. Europe Fouls Northern Ireland - Fouls Luxembourg,1.83,No,win,Individual Total 2 Over (14.5) (win),0.3 ,18.11.2025 | 00:45
72919359381,17.11.2025 | 21:03,Football. World Cup 2026 Qualification. Europe Northern Ireland - Luxembourg,1.75,No,win,W1 (win),0.3 ,18.11.2025 | 00:45
72919319337,17.11.2025 | 21:02,Football. World Cup 2026 Qualification. Europe Offsides Montenegro - Offsides Croatia,1.62,No,loss,Total Over (3.5) (loss),0.3 ,18.11.2025 | 00:45
72919305173,17.11.2025 | 21:01,Football. World Cup 2026 Qualification. Europe Offsides Czech Republic - Offsides Gibraltar,1.76,No,loss,Individual Total 1 Over (2.5) (loss),0.3 ,18.11.2025 | 00:45
72919273397,17.11.2025 | 21:00,Football. World Cup 2026 Qualification. Europe Yellow Cards Montenegro - Yellow Cards Croatia,2.24,No,win,Individual Total 1 Over (2) (win),0.3 ,18.11.2025 | 00:45
72919258993,17.11.2025 | 21:00,Football. World Cup 2026 Qualification. Europe Yellow Cards Northern Ireland - Yellow Cards Luxembourg,1.49,No,win,Individual Total 2 Over (1.5) (win),0.3 ,18.11.2025 | 00:45
